ticket_id|alarm|started_ts|ended_ts|solved_by|src_system|site_visit|priority
T_0000001|50025222|2018-09-14 03:29:10|14-09-2018 04.06.13|team78|OP2|1|3
T_0000002|50021238|2018-10-29 03:39:49|29/10/2018 04:25:25|team30|OP1|0|2
T_0000003|50034089|2018-03-31 07:25:48|31/03/2018 07:58:45|team68|OP1|0|3
T_0000004|50021918|2018-08-08 19:57:56|08/08/2018 20:42:40|team56|OP1|0|2
T_0000005|50046096|2018-10-10 17:47:00|10/10/2018 18:31:05|team34|OP1|0|3
T_0000006|50023937|2018-11-18 06:20:17|18/11/2018 07:08:09|team48|OP1|0|3
T_0000007|50014731|2018-03-05 01:01:29|05/03/2018 01:43:58|team30|OP1|0|3
T_0000008|50005680|2018-04-22 19:40:41|22/04/2018 20:27:56|team34|OP1|1|3
T_0000009|50019568|2018-03-09 10:33:47|09-03-2018 11.05.04|team34|OP2|0|1
T_0000010|50021490|2018-02-18 03:17:54|18/02/2018 04:10:12|team68|OP1|1|3
T_0000011|50031715|2018-01-17 10:10:12|17-01-2018 10.59.56|team28|OP2|0|3
T_0000012|50020307|2018-11-13 04:30:58|13/11/2018 05:20:12|team28|OP1|0|3
T_0000013|50025022|2018-09-22 18:53:09|22-09-2018 19.25.44|team56|OP2|0|2
T_0000014|50009585|2018-02-04 22:31:39|04/02/2018 23:06:18|team30|OP1|1|3
T_0000015|50047314|2018-06-05 00:44:29|05-06-2018 01.20.33|team28|OP2|1|3
T_0000016|50016133|2018-03-03 23:37:08|04-03-2018 00.16.33|team56|OP2|0|1
T_0000017|50029254|2018-11-19 13:14:11|19/11/2018 14:13:59|team33|OP1|0|2
T_0000018|50011198|2018-05-13 15:31:09|13/05/2018 16:16:03|team90|OP1|0|2
T_0000019|50010378|2018-01-04 06:22:13||team28|OP2|0|3
T_0000020|50037567|2018-12-13 05:30:25||team56|OP1|1|3
T_0000021|50042169|2018-03-07 20:14:50|07-03-2018 20.54.11|team28|OP2|0|3
T_0000022|50040036|2018-11-14 04:38:00|14/11/2018 05:34:35|team90|OP1|0|3
T_0000023|50012140|2018-05-03 16:43:09|03-05-2018 17.28.43|team28|OP2|1|3
T_0000024|50026128|2018-07-08 08:36:20|08-07-2018 09.26.18|team34|OP2|0|1
T_0000025|50022682|2018-03-20 07:52:55|20/03/2018 08:28:56|team30|OP1|0|2
T_0000026|50006289|2018-04-17 21:46:25|17-04-2018 22.41.56|team90|OP2|1|3
T_0000027|50048012|2018-06-17 10:17:03|17/06/2018 11:00:40|team33|OP1|0|2
T_0000028|50000461|2018-12-18 02:52:20|18/12/2018 03:24:30|team28|OP1|0|2
T_0000029|50042810|2018-12-18 17:20:01|18-12-2018 17.56.27|team78|OP2|0|3
T_0000030|50038398|2018-04-19 07:48:58|19/04/2018 08:27:34|team48|OP1|0|3
T_0000031|50012920|2018-02-17 06:35:38|17-02-2018 07.27.39|team68|OP2|0|2
T_0000032|50004675|2018-03-18 18:10:52|18-03-2018 19.03.17|team48|OP2|0|3
T_0000033|50029133|2018-11-13 16:08:44|13-11-2018 16.48.49|team56|OP2|0|2
T_0000034|50040112|2018-08-10 20:20:44|10/08/2018 21:17:25|team78|OP1|1|3
T_0000035|50025945|2018-09-01 04:59:36|01-09-2018 05.38.21|team30|OP2|0|2
T_0000036|50038539|2018-11-24 19:15:01||team48|OP2|0|1
T_0000037|50042250|2018-11-19 13:20:52|19-11-2018 13.59.15|team33|OP2|0|1
T_0000038|50009171|2018-02-19 02:56:04||team68|OP2|1|3
T_0000039|50017609|2018-09-02 00:10:10|02/09/2018 00:52:13|team90|OP1|0|3
